author.id,u_min,u_max,u_mean,u_std,Cat,is_retweet,Label,retweet
u0,0,0,0,,Twitter_User,,u0,
u1,0,1,0.02,0.13,Twitter_User,,u1,
u10,0,0,0,,Twitter_User,,u10,
u100,0,0,0,,Twitter_User,,u100,
u1000,0,0,0,,Twitter_User,,u1000,
u1001,0,0,0,,Twitter_User,,u1001,
u1002,3263,3263,3263,,Twitter_User,,u1002,
u1003,0,6,1.5,2.35,Twitter_User,,u1003,
u1004,0,6,0.88,2.1,Twitter_User,,u1004,
u1005,7,312,94.25,145.92,Twitter_User,,u1005,
u1006,0,0,0,,Twitter_User,,u1006,
u1007,2,2,2,,Twitter_User,,u1007,
u1008,26,26,26,,Twitter_User,,u1008,
u1009,4,4,4,,Twitter_User,,u1009,
u101,0,0,0,,Twitter_User,,u101,
u1010,42,42,42,,Twitter_User,,u1010,
u1011,0,0,0,0,Twitter_User,,u1011,
u1012,32,2995,1513.5,2095.16,Twitter_User,,u1012,
u1013,0,0,0,,Twitter_User,,u1013,
u1014,0,0,0,0,Twitter_User,,u1014,
u1015,2095,2095,2095,,Twitter_User,,u1015,
u1016,6,6,6,,Twitter_User,,u1016,
u1017,3263,3263,3263,,Twitter_User,,u1017,
u1018,152,152,152,,Twitter_User,,u1018,
u1019,999,999,999,,Twitter_User,,u1019,
u102,0,0,0,,Twitter_User,,u102,
u1020,2888,2888,2888,,Twitter_User,,u1020,
u1021,49,49,49,,Twitter_User,,u1021,
u1022,0,0,0,0,Twitter_User,,u1022,
u1023,0,0,0,,Twitter_User,,u1023,
u1024,0,0,0,,Twitter_User,,u1024,
u1025,2,71,14.32,15.86,Twitter_User,,u1025,
u1026,3429,3429,3429,,Twitter_User,,u1026,
u1027,13,13,13,,Twitter_User,,u1027,
u1028,156,875,398,413.11,Twitter_User,,u1028,
u1029,0,5,2,2.65,Twitter_User,,u1029,
u103,0,0,0,,Twitter_User,,u103,
u1030,0,0,0,0,Twitter_User,,u1030,
u1031,60,60,60,,Twitter_User,,u1031,
u1032,3263,3263,3263,,Twitter_User,,u1032,
u1033,7,7,7,,Twitter_User,,u1033,
u1034,2995,2995,2995,,Twitter_User,,u1034,
u1035,0,0,0,,Twitter_User,,u1035,
u1036,0,4,1.6,1.67,Twitter_User,,u1036,
u1037,0,0,0,,Twitter_User,,u1037,
u1038,2,184,93,128.69,Twitter_User,,u1038,
u1039,13,13,13,,Twitter_User,,u1039,
u104,2095,2095,2095,,Twitter_User,,u104,
u1040,0,0,0,,Twitter_User,,u1040,
u1041,0,11,5.5,7.78,Twitter_User,,u1041,
u1042,219,219,219,,Twitter_User,,u1042,
u1043,3,3,3,,Twitter_User,,u1043,
u1044,3429,3429,3429,,Twitter_User,,u1044,
u1045,3,3,3,,Twitter_User,,u1045,
u1046,0,0,0,,Twitter_User,,u1046,
u1047,1,1,1,,Twitter_User,,u1047,
u1048,42,42,42,,Twitter_User,,u1048,
u1049,0,0,0,0,Twitter_User,,u1049,
u105,1,1,1,,Twitter_User,,u105,
u1050,2,2,2,,Twitter_User,,u1050,
u1051,0,0,0,,Twitter_User,,u1051,
u1052,3,3,3,,Twitter_User,,u1052,
u1053,999,999,999,,Twitter_User,,u1053,
u1054,875,875,875,,Twitter_User,,u1054,
u1055,0,0,0,0,Twitter_User,,u1055,
u1056,0,0,0,,Twitter_User,,u1056,
u1057,0,0,0,,Twitter_User,,u1057,
u1058,961,961,961,,Twitter_User,,u1058,
u1059,0,0,0,,Twitter_User,,u1059,
u106,0,0,0,,Twitter_User,,u106,
u1060,16,26,21,7.07,Twitter_User,,u1060,
u1061,0,0,0,0,Twitter_User,,u1061,
u1062,0,0,0,,Twitter_User,,u1062,
u1063,0,0,0,,Twitter_User,,u1063,
u1064,0,0,0,,Twitter_User,,u1064,
u1065,1,1,1,,Twitter_User,,u1065,
u1066,0,0,0,0,Twitter_User,,u1066,
u1067,21,875,379.33,443.25,Twitter_User,,u1067,
u1068,561,561,561,,Twitter_User,,u1068,
u1069,0,0,0,,Twitter_User,,u1069,
u107,3263,3263,3263,,Twitter_User,,u107,
u1070,0,1,0.5,0.71,Twitter_User,,u1070,
u1071,0,0,0,,Twitter_User,,u1071,
u1072,0,0,0,0,Twitter_User,,u1072,
u1073,0,0,0,0,Twitter_User,,u1073,
u1074,0,0,0,,Twitter_User,,u1074,
u1075,15,15,15,,Twitter_User,,u1075,
u1076,806,806,806,,Twitter_User,,u1076,
u1077,0,0,0,0,Twitter_User,,u1077,
u1078,90,202,146,79.2,Twitter_User,,u1078,
u1079,0,0,0,,Twitter_User,,u1079,
u108,0,0,0,,Twitter_User,,u108,
u1080,19,19,19,,Twitter_User,,u1080,
u1081,23,23,23,,Twitter_User,,u1081,
u1082,0,0,0,,Twitter_User,,u1082,
u1083,329,329,329,,Twitter_User,,u1083,
u1084,2,2,2,,Twitter_User,,u1084,
u1085,0,0,0,0,Twitter_User,,u1085,
u1086,0,2,1,1.41,Twitter_User,,u1086,
u1087,0,0,0,,Twitter_User,,u1087,
u1088,3429,3429,3429,,Twitter_User,,u1088,
u1089,1,1,1,,Twitter_User,,u1089,
u109,93,93,93,,Twitter_User,,u109,
u1090,1,2995,65.93,303.03,Twitter_User,,u1090,
u1091,0,0,0,,Twitter_User,,u1091,
u1092,0,9,3,5.2,Twitter_User,,u1092,
u1093,2,2,2,,Twitter_User,,u1093,
u1094,1,1,1,,Twitter_User,,u1094,
u1095,2,2,2,,Twitter_User,,u1095,
u1096,0,0,0,,Twitter_User,,u1096,
u1097,17,17,17,,Twitter_User,,u1097,
u1098,219,219,219,,Twitter_User,,u1098,
u1099,875,875,875,,Twitter_User,,u1099,
u11,0,0,0,,Twitter_User,,u11,
u110,0,0,0,,Twitter_User,,u110,
u1100,0,0,0,,Twitter_User,,u1100,
u1101,51,51,51,,Twitter_User,,u1101,
u1102,0,0,0,,Twitter_User,,u1102,
u1103,0,0,0,,Twitter_User,,u1103,
u1104,27,27,27,,Twitter_User,,u1104,
u1105,0,1,0.5,0.71,Twitter_User,,u1105,
u1106,0,0,0,,Twitter_User,,u1106,
u1107,0,0,0,0,Twitter_User,,u1107,
u1108,0,0,0,,Twitter_User,,u1108,
