Source,Target,weight,Type
u0,qID250,1,Undirected
u1,qID126,2,Undirected
u1,qID130,2,Undirected
u1,qID135,1,Undirected
u1,qID141,1,Undirected
u1,qID152,1,Undirected
u1,qID162,1,Undirected
u1,qID177,1,Undirected
u1,qID180,2,Undirected
u1,qID182,1,Undirected
u1,qID184,1,Undirected
u1,qID185,1,Undirected
u1,qID186,1,Undirected
u1,qID190,1,Undirected
u1,qID195,1,Undirected
u1,qID197,1,Undirected
u1,qID198,2,Undirected
u1,qID199,1,Undirected
u1,qID201,2,Undirected
u1,qID208,1,Undirected
u1,qID209,3,Undirected
u1,qID210,6,Undirected
u1,qID211,2,Undirected
u1,qID212,1,Undirected
u1,qID213,1,Undirected
u1,qID214,1,Undirected
u1,qID218,1,Undirected
u1,qID219,1,Undirected
u1,qID249,2,Undirected
u1,qID255,3,Undirected
u1,qID256,1,Undirected
u1,qID257,1,Undirected
u1,qID261,3,Undirected
u1,qID262,4,Undirected
u1,qID264,1,Undirected
u1,qID268,2,Undirected
u1,qID292,1,Undirected
u1,qID297,1,Undirected
u10,qID141,1,Undirected
u100,qID220,1,Undirected
u1000,qID141,1,Undirected
u1001,qID156,1,Undirected
u1002,qID177,1,Undirected
u1003,qID128,2,Undirected
u1003,qID157,1,Undirected
u1003,qID203,1,Undirected
u1003,qID257,1,Undirected
u1003,qID4,1,Undirected
u1004,qID118,1,Undirected
u1004,qID123,1,Undirected
u1004,qID132,1,Undirected
u1004,qID152,1,Undirected
u1004,qID160,1,Undirected
u1004,qID170,3,Undirected
u1005,qID120,1,Undirected
u1005,qID126,2,Undirected
u1005,qID158,1,Undirected
u1006,qID177,1,Undirected
u1007,qID220,1,Undirected
u1008,qID170,1,Undirected
u1009,qID220,1,Undirected
u101,qID220,1,Undirected
u1010,qID220,1,Undirected
u1011,qID126,1,Undirected
u1011,qID204,1,Undirected
u1011,qID220,1,Undirected
u1012,qID204,1,Undirected
u1012,qID220,1,Undirected
u1013,qID177,1,Undirected
u1014,qID173,1,Undirected
u1014,qID189,1,Undirected
u1014,qID190,1,Undirected
u1015,qID204,1,Undirected
u1016,qID220,1,Undirected
u1017,qID177,1,Undirected
u1018,qID176,1,Undirected
u1019,qID220,1,Undirected
u102,qID254,1,Undirected
u1020,qID210,1,Undirected
u1021,qID250,1,Undirected
u1022,qID123,1,Undirected
u1022,qID130,1,Undirected
u1023,qID152,1,Undirected
u1024,qID152,1,Undirected
u1025,qID156,1,Undirected
u1025,qID164,1,Undirected
u1025,qID167,1,Undirected
u1025,qID171,1,Undirected
u1025,qID173,1,Undirected
u1025,qID190,1,Undirected
u1025,qID191,1,Undirected
u1025,qID195,1,Undirected
u1025,qID199,1,Undirected
u1025,qID201,1,Undirected
u1025,qID205,2,Undirected
u1025,qID210,5,Undirected
u1025,qID214,1,Undirected
u1025,qID220,3,Undirected
u1025,qID227,1,Undirected
u1025,qID235,1,Undirected
u1025,qID238,1,Undirected
u1025,qID262,1,Undirected
u1026,qID177,1,Undirected
u1027,qID265,1,Undirected
u1028,qID105,1,Undirected
u1028,qID106,1,Undirected
u1028,qID177,1,Undirected
u1029,qID139,1,Undirected
u1029,qID192,1,Undirected
u1029,qID69,1,Undirected
u103,qID220,1,Undirected
u1030,qID148,1,Undirected
u1030,qID152,1,Undirected
u1031,qID177,1,Undirected
u1032,qID177,1,Undirected
u1033,qID220,1,Undirected
u1034,qID204,1,Undirected
u1035,qID273,1,Undirected
u1036,qID10,1,Undirected
u1036,qID192,1,Undirected
u1036,qID217,2,Undirected
u1036,qID230,1,Undirected
u1037,qID220,1,Undirected
u1038,qID177,2,Undirected
u1039,qID177,1,Undirected
u104,qID204,1,Undirected
u1040,qID220,1,Undirected
u1041,qID123,2,Undirected
u1042,qID177,1,Undirected
u1043,qID220,1,Undirected
u1044,qID177,1,Undirected
u1045,qID261,1,Undirected
u1046,qID143,1,Undirected
u1047,qID252,1,Undirected
u1048,qID126,1,Undirected
u1049,qID64,1,Undirected
u1049,qID66,1,Undirected
u105,qID51,1,Undirected
u1050,qID204,1,Undirected
u1051,qID177,1,Undirected
u1052,qID152,1,Undirected
u1053,qID220,1,Undirected
u1054,qID177,1,Undirected
u1055,qID264,1,Undirected
u1055,qID278,1,Undirected
u1056,qID220,1,Undirected
u1057,qID220,1,Undirected
u1058,qID122,1,Undirected
u1059,qID220,1,Undirected
u106,qID273,1,Undirected
u1060,qID192,1,Undirected
u1060,qID194,1,Undirected
u1061,qID101,1,Undirected
u1061,qID111,1,Undirected
u1061,qID128,1,Undirected
u1061,qID129,2,Undirected
u1061,qID157,1,Undirected
u1061,qID161,1,Undirected
u1061,qID220,1,Undirected
u1061,qID293,1,Undirected
u1062,qID255,1,Undirected
u1063,qID177,1,Undirected
u1064,qID186,1,Undirected
u1065,qID210,1,Undirected
u1066,qID161,1,Undirected
u1066,qID165,1,Undirected
u1066,qID177,1,Undirected
u1066,qID204,1,Undirected
u1066,qID220,1,Undirected
u1067,qID123,1,Undirected
u1067,qID170,1,Undirected
u1067,qID177,1,Undirected
u1068,qID250,1,Undirected
u1069,qID113,1,Undirected
u107,qID177,1,Undirected
u1070,qID177,1,Undirected
u1070,qID220,1,Undirected
u1071,qID220,1,Undirected
u1072,qID169,1,Undirected
u1072,qID266,1,Undirected
u1073,qID218,1,Undirected
u1073,qID220,1,Undirected
u1073,qID285,1,Undirected
u1074,qID205,1,Undirected
u1075,qID220,1,Undirected
u1076,qID204,1,Undirected
u1077,qID74,1,Undirected
u1077,qID79,1,Undirected
u1078,qID113,1,Undirected
u1078,qID118,1,Undirected
u1079,qID220,1,Undirected
u108,qID177,1,Undirected
u1080,qID220,1,Undirected
u1081,qID204,1,Undirected
u1082,qID144,1,Undirected
u1083,qID250,1,Undirected
u1084,qID164,1,Undirected
u1085,qID120,1,Undirected
u1085,qID170,1,Undirected
u1086,qID154,1,Undirected
u1086,qID156,1,Undirected
u1087,qID220,1,Undirected
u1088,qID177,1,Undirected
u1089,qID220,1,Undirected
u109,qID220,1,Undirected
u1090,qID105,1,Undirected
u1090,qID106,1,Undirected
u1090,qID108,1,Undirected
u1090,qID110,2,Undirected
u1090,qID111,1,Undirected
u1090,qID113,5,Undirected
u1090,qID115,1,Undirected
u1090,qID12,1,Undirected
u1090,qID120,6,Undirected
u1090,qID123,16,Undirected
u1090,qID124,3,Undirected
u1090,qID125,1,Undirected
u1090,qID126,19,Undirected
u1090,qID128,9,Undirected
u1090,qID129,2,Undirected
u1090,qID130,2,Undirected
u1090,qID132,1,Undirected
u1090,qID134,1,Undirected
u1090,qID138,1,Undirected
u1090,qID160,1,Undirected
u1090,qID170,3,Undirected
u1090,qID177,1,Undirected
u1090,qID188,1,Undirected
u1090,qID199,1,Undirected
u1090,qID204,1,Undirected
u1090,qID210,1,Undirected
u1090,qID220,1,Undirected
u1090,qID223,1,Undirected
u1090,qID267,1,Undirected
u1090,qID42,1,Undirected
u1090,qID5,1,Undirected
u1090,qID62,1,Undirected
u1090,qID71,1,Undirected
u1090,qID73,1,Undirected
u1090,qID76,8,Undirected
u1090,qID85,1,Undirected
u1091,qID220,1,Undirected
u1092,qID123,1,Undirected
u1092,qID143,1,Undirected
u1092,qID194,1,Undirected
u1093,qID220,1,Undirected
u1094,qID220,1,Undirected
u1095,qID141,1,Undirected
u1096,qID220,1,Undirected
u1097,qID256,1,Undirected
u1098,qID177,1,Undirected
u1099,qID177,1,Undirected
u11,qID220,1,Undirected
u110,qID276,1,Undirected
u1100,qID177,1,Undirected
u1101,qID273,1,Undirected
u1102,qID177,1,Undirected
u1103,qID141,1,Undirected
u1104,qID126,1,Undirected
u1105,qID110,1,Undirected
u1105,qID117,1,Undirected
u1106,qID220,1,Undirected
u1107,qID113,1,Undirected
u1107,qID130,1,Undirected
u1107,qID278,1,Undirected
u1108,qID126,1,Undirected
u1109,qID206,1,Undirected
u1109,qID208,1,Undirected
u111,qID123,1,Undirected
u1110,qID184,1,Undirected
u1111,qID271,2,Undirected
u1112,qID113,1,Undirected
u1112,qID141,1,Undirected
u1112,qID194,1,Undirected
u1113,qID204,1,Undirected
u1114,qID172,1,Undirected
u1114,qID190,1,Undirected
u1114,qID202,1,Undirected
u1115,qID180,1,Undirected
u1116,qID141,1,Undirected
u1117,qID204,1,Undirected
u1117,qID220,1,Undirected
u1118,qID220,1,Undirected
u1119,qID177,1,Undirected
u112,qID192,1,Undirected
u1120,qID280,1,Undirected
u1121,qID177,1,Undirected
u1122,qID204,2,Undirected
u1122,qID210,1,Undirected
u1123,qID125,1,Undirected
u1124,qID151,1,Undirected
u1124,qID152,1,Undirected
u1124,qID205,1,Undirected
u1124,qID296,1,Undirected
u1125,qID129,1,Undirected
u1125,qID255,1,Undirected
u1126,qID177,1,Undirected
u1126,qID204,2,Undirected
u1127,qID220,1,Undirected
u1128,qID123,1,Undirected
u1128,qID126,1,Undirected
u1128,qID127,1,Undirected
u1128,qID129,1,Undirected
u1128,qID130,1,Undirected
u1128,qID132,1,Undirected
u1128,qID143,1,Undirected
u1128,qID152,1,Undirected
u1128,qID154,1,Undirected
u1128,qID165,1,Undirected
u1128,qID172,1,Undirected
u1128,qID177,1,Undirected
u1128,qID178,1,Undirected
u1128,qID187,1,Undirected
u1128,qID190,1,Undirected
u1128,qID192,1,Undirected
u1128,qID210,1,Undirected
u1128,qID241,1,Undirected
u1129,qID123,1,Undirected
u1129,qID130,1,Undirected
u1129,qID92,1,Undirected
u113,qID220,2,Undirected
u1130,qID204,1,Undirected
u1131,qID106,1,Undirected
u1131,qID177,1,Undirected
u1131,qID192,1,Undirected
u1132,qID220,1,Undirected
u1133,qID165,1,Undirected
u1134,qID204,1,Undirected
u1135,qID169,1,Undirected
u1136,qID124,1,Undirected
u1137,qID204,1,Undirected
u1138,qID111,1,Undirected
u1139,qID61,2,Undirected
u114,qID273,1,Undirected
u114,qID274,1,Undirected
u1140,qID241,1,Undirected
u1141,qID211,1,Undirected
u1141,qID213,1,Undirected
u1141,qID219,1,Undirected
u1141,qID220,1,Undirected
u1141,qID222,1,Undirected
u1141,qID226,1,Undirected
u1141,qID227,1,Undirected
u1142,qID220,1,Undirected
u1143,qID123,1,Undirected
u1143,qID202,1,Undirected
u1143,qID250,1,Undirected
u1143,qID279,1,Undirected
u1143,qID287,1,Undirected
u1144,qID177,1,Undirected
u1145,qID177,1,Undirected
u1146,qID152,1,Undirected
u1147,qID204,1,Undirected
u1148,qID176,1,Undirected
u1149,qID204,2,Undirected
u115,qID106,1,Undirected
u1150,qID204,1,Undirected
u1151,qID160,1,Undirected
u1152,qID177,1,Undirected
u1153,qID204,1,Undirected
u1154,qID214,1,Undirected
u1155,qID177,1,Undirected
u1156,qID170,1,Undirected
u1157,qID143,1,Undirected
u1158,qID204,1,Undirected
u1159,qID220,1,Undirected
u116,qID220,1,Undirected
u1160,qID105,3,Undirected
u1160,qID106,1,Undirected
u1160,qID12,1,Undirected
u1160,qID123,2,Undirected
u1160,qID126,1,Undirected
u1160,qID128,1,Undirected
u1160,qID138,3,Undirected
u1160,qID155,1,Undirected
u1160,qID175,1,Undirected
u1160,qID190,1,Undirected
u1160,qID192,1,Undirected
u1160,qID96,1,Undirected
u1161,qID177,1,Undirected
u1162,qID168,1,Undirected
u1162,qID177,1,Undirected
u1163,qID133,1,Undirected
u1164,qID204,1,Undirected
u1165,qID220,1,Undirected
u1166,qID148,1,Undirected
u1166,qID196,1,Undirected
u1166,qID277,1,Undirected
u1167,qID204,1,Undirected
u1168,qID126,1,Undirected
u1169,qID210,1,Undirected
u117,qID154,1,Undirected
u1170,qID204,1,Undirected
u1171,qID153,1,Undirected
u1172,qID106,1,Undirected
u1172,qID162,1,Undirected
u1173,qID220,1,Undirected
u1174,qID194,1,Undirected
u1175,qID177,1,Undirected
u1176,qID204,1,Undirected
u1177,qID126,1,Undirected
u1178,qID130,1,Undirected
u1179,qID123,1,Undirected
u118,qID204,1,Undirected
u1180,qID190,2,Undirected
u1180,qID204,1,Undirected
u1180,qID207,1,Undirected
u1181,qID123,3,Undirected
u1182,qID204,1,Undirected
u1182,qID273,1,Undirected
u1183,qID220,1,Undirected
u1184,qID220,1,Undirected
u1185,qID210,1,Undirected
u1186,qID123,1,Undirected
u1187,qID204,1,Undirected
u1188,qID177,1,Undirected
u1189,qID102,1,Undirected
u1189,qID106,1,Undirected
u1189,qID177,1,Undirected
u1189,qID188,1,Undirected
u1189,qID249,1,Undirected
u1189,qID99,1,Undirected
u119,qID285,1,Undirected
u119,qID287,1,Undirected
u119,qID288,1,Undirected
u119,qID289,1,Undirected
u119,qID290,1,Undirected
u1190,qID204,1,Undirected
u1191,qID123,1,Undirected
u1191,qID126,1,Undirected
u1191,qID130,1,Undirected
u1192,qID237,1,Undirected
u1193,qID99,1,Undirected
u1194,qID204,1,Undirected
u1195,qID220,1,Undirected
u1196,qID106,1,Undirected
u1197,qID122,1,Undirected
u1198,qID250,1,Undirected
u1199,qID102,1,Undirected
u12,qID204,1,Undirected
u120,qID69,1,Undirected
u1200,qID204,1,Undirected
u1201,qID105,1,Undirected
u1202,qID210,1,Undirected
u1203,qID220,1,Undirected
u1204,qID204,1,Undirected
u1205,qID246,1,Undirected
u1206,qID190,1,Undirected
u1207,qID210,1,Undirected
u1208,qID204,1,Undirected
u1209,qID227,1,Undirected
u121,qID190,1,Undirected
u1210,qID220,1,Undirected
u1211,qID177,1,Undirected
u1212,qID220,1,Undirected
u1213,qID177,1,Undirected
u1214,qID220,1,Undirected
u1215,qID220,1,Undirected
u1216,qID221,1,Undirected
u1217,qID177,1,Undirected
u1218,qID279,1,Undirected
u1219,qID122,1,Undirected
u122,qID123,1,Undirected
u122,qID126,1,Undirected
u122,qID129,1,Undirected
u122,qID151,1,Undirected
u122,qID152,1,Undirected
u122,qID190,1,Undirected
u122,qID191,1,Undirected
u122,qID202,1,Undirected
u122,qID206,1,Undirected
u122,qID207,1,Undirected
u122,qID227,1,Undirected
u1220,qID106,1,Undirected
u1220,qID117,1,Undirected
u1220,qID120,1,Undirected
u1220,qID122,1,Undirected
u1220,qID180,1,Undirected
u1221,qID177,1,Undirected
u1222,qID204,1,Undirected
u1223,qID250,1,Undirected
u1224,qID220,1,Undirected
u1225,qID255,1,Undirected
u1226,qID220,1,Undirected
u1227,qID220,1,Undirected
u1228,qID177,1,Undirected
u1229,qID143,1,Undirected
u123,qID120,1,Undirected
u1230,qID126,1,Undirected
u1231,qID177,1,Undirected
u1232,qID122,1,Undirected
u1233,qID220,2,Undirected
u1234,qID204,1,Undirected
u1234,qID265,1,Undirected
u1235,qID250,1,Undirected
u1236,qID204,1,Undirected
u1237,qID250,1,Undirected
u1238,qID204,1,Undirected
u1239,qID255,1,Undirected
u1239,qID256,1,Undirected
u124,qID177,1,Undirected
u1240,qID249,1,Undirected
u1241,qID76,1,Undirected
u1242,qID204,1,Undirected
u1243,qID141,1,Undirected
u1244,qID220,1,Undirected
u1244,qID89,1,Undirected
u1244,qID9,1,Undirected
u1245,qID220,1,Undirected
u1246,qID220,1,Undirected
u1247,qID265,1,Undirected
u1248,qID9,1,Undirected
u1249,qID220,1,Undirected
u125,qID126,3,Undirected
u125,qID151,1,Undirected
u1250,qID220,1,Undirected
u1251,qID129,1,Undirected
u1251,qID280,1,Undirected
u1252,qID177,1,Undirected
u1253,qID259,1,Undirected
u1254,qID250,1,Undirected
u1255,qID206,1,Undirected
u1256,qID220,1,Undirected
u1257,qID110,2,Undirected
u1257,qID141,3,Undirected
u1257,qID97,1,Undirected
u1258,qID177,1,Undirected
u1259,qID132,1,Undirected
u126,qID220,1,Undirected
u1260,qID220,1,Undirected
u1261,qID220,1,Undirected
u1262,qID148,2,Undirected
u1263,qID177,2,Undirected
u1264,qID220,1,Undirected
u1265,qID220,1,Undirected
u1265,qID278,1,Undirected
u1266,qID177,2,Undirected
u1267,qID129,1,Undirected
u1268,qID126,1,Undirected
u1269,qID97,1,Undirected
u127,qID216,1,Undirected
u1270,qID208,1,Undirected
u1271,qID152,1,Undirected
u1272,qID204,1,Undirected
u1273,qID227,1,Undirected
u1274,qID228,1,Undirected
u1275,qID182,1,Undirected
u1276,qID204,1,Undirected
u1276,qID89,1,Undirected
u1277,qID220,1,Undirected
u1278,qID259,1,Undirected
u1278,qID292,1,Undirected
u1278,qID296,1,Undirected
u1279,qID152,1,Undirected
u128,qID249,1,Undirected
u1280,qID220,1,Undirected
u1281,qID106,1,Undirected
u1281,qID111,2,Undirected
u1281,qID112,1,Undirected
u1281,qID120,3,Undirected
u1281,qID121,1,Undirected
u1281,qID126,2,Undirected
u1281,qID129,1,Undirected
u1281,qID130,1,Undirected
u1281,qID138,1,Undirected
u1281,qID141,1,Undirected
u1281,qID191,1,Undirected
u1281,qID192,2,Undirected
u1281,qID194,1,Undirected
u1281,qID25,1,Undirected
u1281,qID273,1,Undirected
u1281,qID62,1,Undirected
u1281,qID73,1,Undirected
u1281,qID74,1,Undirected
u1281,qID75,2,Undirected
u1281,qID76,4,Undirected
u1281,qID79,1,Undirected
u1281,qID80,1,Undirected
u1281,qID85,1,Undirected
u1282,qID113,1,Undirected
u1282,qID122,1,Undirected
u1282,qID124,1,Undirected
u1282,qID125,1,Undirected
u1282,qID170,1,Undirected
u1282,qID171,1,Undirected
u1283,qID177,1,Undirected
u1284,qID130,1,Undirected
u1284,qID144,1,Undirected
u1285,qID126,1,Undirected
u1286,qID220,1,Undirected
u1287,qID106,1,Undirected
u1287,qID110,1,Undirected
u1287,qID120,1,Undirected
u1287,qID125,1,Undirected
u1287,qID126,1,Undirected
u1287,qID3,1,Undirected
u1287,qID38,1,Undirected
u1287,qID50,1,Undirected
u1287,qID55,1,Undirected
u1287,qID69,3,Undirected
u1287,qID7,1,Undirected
u1287,qID70,1,Undirected
u1287,qID73,1,Undirected
u1287,qID80,1,Undirected
u1287,qID82,2,Undirected
u1288,qID177,1,Undirected
u1288,qID220,1,Undirected
u1289,qID172,1,Undirected
u1289,qID204,1,Undirected
u129,qID154,1,Undirected
u129,qID165,1,Undirected
u129,qID244,1,Undirected
u1290,qID273,1,Undirected
u1291,qID220,1,Undirected
u1292,qID250,1,Undirected
u1293,qID192,1,Undirected
u1293,qID199,1,Undirected
u1294,qID111,1,Undirected
u1294,qID149,1,Undirected
u1294,qID220,1,Undirected
u1294,qID250,1,Undirected
u1295,qID245,1,Undirected
u1296,qID97,1,Undirected
u1297,qID220,1,Undirected
u1298,qID141,1,Undirected
u1299,qID220,1,Undirected
u13,qID249,1,Undirected
u130,qID68,2,Undirected
u1300,qID101,1,Undirected
u1300,qID126,1,Undirected
u1300,qID130,1,Undirected
u1300,qID152,1,Undirected
u1300,qID159,1,Undirected
u1300,qID160,1,Undirected
u1300,qID161,1,Undirected
u1300,qID173,1,Undirected
u1300,qID177,1,Undirected
u1300,qID180,1,Undirected
u1300,qID199,1,Undirected
u1300,qID2,1,Undirected
u1300,qID215,1,Undirected
u1300,qID223,1,Undirected
u1300,qID227,1,Undirected
u1300,qID252,1,Undirected
u1300,qID273,1,Undirected
u1300,qID33,1,Undirected
u1300,qID36,1,Undirected
u1300,qID69,1,Undirected
u1301,qID177,2,Undirected
u1302,qID120,1,Undirected
u1303,qID220,1,Undirected
u1304,qID220,1,Undirected
u1305,qID152,1,Undirected
u1305,qID234,1,Undirected
u1305,qID250,1,Undirected
u1306,qID177,1,Undirected
u1307,qID210,1,Undirected
u1308,qID152,9,Undirected
u1309,qID106,1,Undirected
u1309,qID113,4,Undirected
u1309,qID128,1,Undirected
u1309,qID156,1,Undirected
u131,qID245,1,Undirected
u131,qID249,1,Undirected
u131,qID250,1,Undirected
u131,qID255,1,Undirected
u131,qID256,1,Undirected
u131,qID261,1,Undirected
u131,qID267,1,Undirected
u131,qID284,1,Undirected
u1310,qID105,1,Undirected
u1310,qID106,2,Undirected
u1310,qID111,1,Undirected
u1310,qID120,6,Undirected
u1310,qID123,3,Undirected
u1310,qID126,4,Undirected
u1310,qID128,1,Undirected
u1310,qID131,1,Undirected
u1310,qID152,1,Undirected
u1310,qID154,1,Undirected
u1310,qID195,1,Undirected
u1310,qID264,1,Undirected
u1310,qID3,1,Undirected
u1310,qID75,1,Undirected
u1311,qID177,1,Undirected
u1312,qID226,1,Undirected
u1313,qID177,1,Undirected
u1314,qID250,1,Undirected
u1315,qID250,1,Undirected
u1316,qID220,1,Undirected
u1317,qID177,1,Undirected
u1318,qID123,1,Undirected
